id,level,parent,name_th,name_roman,name_en,class,class_th,resident,upkeep,provenance_sensitivity,form,materials,functions,region,wat_th,maker_th,era_en,what_th,what_en,listings,median_thb,image,image_license,url,json,confidence,updated
fu-talisman,kind,,ยันต์ฮู้จีน,fu,Taoist paper talisman (fu),yantra_wattu,วัตถุมงคล (ยันต์),none,none,low,other,,khum_khrong|kan_phi,diaspora|th|my|sg,,ดาวสือ (道士) หรือหมอพิธี (法師) และศาลเจ้าจีน,Han-dynasty fu survive on bamboo slips; the practice is continuous,กระดาษเหลืองเขียนหมึกแดงหรือดำเป็นอักษรคำสั่งและเส้นยันต์ตามแบบเต๋า ประทับตรา ใช้ติดบ้าน พกติดตัว หรือเผาละลายน้ำดื่ม ศาลเจ้าจีนในไทย มาเลเซีย สิงคโปร์ออกให้ ไทยเรียกยันต์ฮู้จีน พลังอยู่ที่อักษรและตรา ไม่มีผู้สถิต,"The Taoist paper talisman: a yellow strip written in red or black with commands to spirits and asemic strokes, sealed, and then pasted over a door, carried folded, or burned into water and drunk. Chinese shrines in Thailand, Malaysia and Singapore issue them; Thai retail calls them ยันต์ฮู้จีน. Power in the writing and the seal, nobody home.",8,64.0,fu-talisman/fu-talisman-fulu-from-chao-pho-suea-shrine-in-bangko-a88fa6.jpg,CC BY-SA 4.0,https://wichaa.net/amulets/kind/fu-talisman/,https://wichaa.net/amulets/api/kind/fu-talisman.json,medium,2026-09-02
hanuman,kind,,หนุมาน,hanuman,Hanuman figure,thep_thewada,เทพ / เทวดา,deva,veneration,medium,figure,nuea_waan|nuea_loha|thonglueang,khong_kraphan|maha_ut|khlaeo_khlat|long_hon|sakot|thoi_khwam|maha_saneh|metta_maha_niyom,th,,ตำราสร้างหนุมาน 8 แบบ ใน ตำราสร้างเครื่องรางของขลัง (ms 6983) · ปัจจุบันหลายวัด,The Ramakien Hanuman of the Thai court tradition; the treatise is a nineteenth-to-twentieth-century compilation of older formulas (tradition),รูปหนุมาน ทหารเอกลิงเผือกของพระรามในรามเกียรติ์ ทำเป็นเครื่องราง ตำราเก่าให้แกะจากรากไม้หรือปั้นจากว่านแล้วอมไว้ในปาก ปัจจุบันเป็นรูปหล่อและเหรียญห้อยคอ,"A figure of Hanuman, Rama's white-monkey general of the Ramakien, made as a charm. The old treatise carves him from root or moulds him from herbs and has the bearer hold him in the mouth; today he is a cast figure or medallion at the neck.",35,129.0,hanuman/hanuman-036-hanuman-9190844478-ca147f.jpg,CC BY 2.0,https://wichaa.net/amulets/kind/hanuman/,https://wichaa.net/amulets/api/kind/hanuman.json,high,2026-09-02
hun-phayon,kind,,หุ่นพยนต์,hun phayon,Hun Payon (animated effigy),hun_phayon,หุ่นพยนต์,animated,veneration,medium,figure,nuea_din,khum_khrong|kan_phi,th-central|th,,ตำราสร้างเครื่องรางของขลัง (ไม่ระบุผู้แต่ง),Undated treatise; the practice is older than any surviving print of it,หุ่นรูปคน — ดิน ฟาง ผ้า หรือโลหะ — ที่ถูกปลุกด้วยยันต์และคาถาให้ทำหน้าที่เป็นผู้รับใช้หรือผู้เฝ้า ผู้อยู่ในหุ่นคือสิ่งที่ถูกบังคับให้ขยับ ไม่ใช่ผีที่มีชื่อหรือเทพที่บูชา จึงเป็นหมวดของตัวเอง,"An effigy — figure, cloth, or metal — animated by yantra and spell to act as a servant or guardian. The occupant is a compelled animation rather than a named ghost or venerated deva, which is what makes it its own class.",349,299.0,hun-phayon/hun-phayon-jpg-37450d.jpg,CC0,https://wichaa.net/amulets/kind/hun-phayon/,https://wichaa.net/amulets/api/kind/hun-phayon.json,high,2026-09-02
in-yantra,kind,,ยันต์พม่า,in,In (Burmese cabalistic square),yantra_wattu,วัตถุมงคล (ยันต์),none,none,low,cloth,pha_yan,khum_khrong|khlaeo_khlat|kan_phi|metta_maha_niyom,mm|shan,,ครูอิน (in-saya) และวิชชา (weikza) สายอิน,Undated; the weikza movement as now known is placed in the Konbaung period,ตารางยันต์ของพม่า เรียกว่า อิน แบ่งเป็นช่องใส่เลขและอักษร คำนวณจากวันเวลาเกิดของผู้รับ เขียนบนกระดาษหรือผ้า สลักบนโลหะ หรือสักลงบนผิว ถือกันว่าคุ้มครอง กันภัย และให้เมตตา,"The Burmese in: a cabalistic square whose cells hold numerals and letters, cast from the recipient's birth date and time by an in-saya or weikza of the in path. Drawn on paper or cloth, engraved on metal, or tattooed. The Burmese counterpart of the Thai yantra, with a grid where the Thai sheet has figures.",,,in-yantra/in-yantra-burmese-kinnara-and-three-headed-peacock-e8af8c.jpg,Public domain,https://wichaa.net/amulets/kind/in-yantra/,https://wichaa.net/amulets/api/kind/in-yantra.json,medium,2026-09-02
jade-buddha-burmese,kind,,พระหยกพม่า,kyauk sein hpaya,Burmese jadeite Buddha pendant,phra_khrueang,พระเครื่อง,none,none,low,figure,,khum_khrong|chok_lap|khlaeo_khlat,mm,,ช่างแกะหยกมัณฑะเลย์และตลาดหยก,"Stone from the Hpakant mines, Kachin State, 350 km north of Mandalay on the Uyu River; Chinese sources note Burmese jadeite from the 10th century",จี้พระพุทธรูปแกะจากหยกเจไดต์พม่า หินจากเหมืองผากันต์ในรัฐกะฉิ่น แกะและขายที่มัณฑะเลย์ ตลาดไทยขายในชื่อ 'หยกพม่าแท้' เรื่องสำคัญคือเนื้อหิน — เจไดต์หรือเนไฟรต์ ธรรมชาติหรือย้อม,"A Buddha pendant carved from Burmese jadeite: stone from the Hpakant mines in Kachin State, cut and traded in Mandalay, sold in Thailand as 'genuine Burma jade'. A Buddha image with nobody home; the whole question is the stone — jadeite or nephrite, untreated or bleached and dyed.",4,149.0,jade-buddha-burmese/jade-buddha-burmese-unfinished-jadeite-rock-with-jade-buddha-4d448f.jpg,CC BY-SA 3.0,https://wichaa.net/amulets/kind/jade-buddha-burmese/,https://wichaa.net/amulets/api/kind/jade-buddha-burmese.json,medium,2026-09-02
jatukham,kind,,จตุคามรามเทพ,chatukham ramthep,Jatukham Rammathep,thep_thewada,เทพ / เทวดา,deva,veneration,medium,medallion,nuea_phong|nuea_waan|nuea_loha,chok_lap|kha_khai|khum_khrong,th-south,วัดพระมหาธาตุวรมหาวิหาร นครศรีธรรมราช,พล.ต.ต. ขุนพันธรักษ์ราชเดช เป็นผู้มีบทบาทหลักในรุ่นแรก,First run 1987 (BE 2530) at the city-horoscope ceremony; the boom peaked in 2006–07 after Khun Phantharak's cremation,เหรียญกลมใหญ่รูปเทพผู้รักษาวัดพระมหาธาตุ นครศรีธรรมราช — ท้าวจตุคามและท้าวรามเทพ ภายหลังนับเป็นองค์เดียว กระแส พ.ศ. ๒๕๕๐ ทำให้เป็นวัตถุมงคลแห่งชาติชั่วคราว เป็นเทพที่บูชา ไม่ต้องเลี้ยง,"A large disc bearing the guardian devas of Wat Phra Mahathat, Nakhon Si Thammarat — Thao Jatukham and Thao Rammathep, later read as one being. The 2007 boom made it a national wealth phenomenon for a season; a deva venerated through the object, nothing to feed.",294,250.0,,,https://wichaa.net/amulets/kind/jatukham/,https://wichaa.net/amulets/api/kind/jatukham.json,high,2026-09-02
jimat,kind,,ยันต์มลายู,jimat,Jimat / azimat (Islamic-Malay written amulet),yantra_wattu,วัตถุมงคล (ยันต์),none,none,low,other,,khum_khrong|kan_phi|khong_kraphan|kha_khai|maha_saneh,my|id|sg,,โต๊ะครู / ดุกุน / กียาอี,Arrived with Islam in the Malay world; the paper-and-Arabic form is continuous with the ta'wiz of the wider Muslim world,เครื่องรางเขียนของโลกมลายู: กระดาษหรือผ้าจารอายะฮ์อัลกุรอาน พระนามพระเจ้า หรือตารางเลข พับเล็กพกติดตัว ผูกรถ หรือแขวนบ้าน พลังอยู่ที่ตัวเขียนและผู้เขียน ไม่มีผู้อยู่,"The written amulet of the Malay world: Quranic verses, names of God or a numbered square, set down in Arabic on paper or cloth by a teacher or bomoh, folded small and carried, tied to a vehicle or hung in a house. Power sits in the writing and the hand that wrote it; nobody is home.",,,jimat/jimat-baju-rajah-syirik-e81a39.jpg,CC BY-SA 4.0,https://wichaa.net/amulets/kind/jimat/,https://wichaa.net/amulets/api/kind/jimat.json,medium,2026-09-02
kala-ta-diao,kind,,กะลาตาเดียว,kala ta diao,One-eyed coconut shell,khong_thammachat,เครื่องรางธรรมชาติ,none,none,low,natural,kala,khum_khrong|chok_lap,th-central|th,วัดศีรษะทอง นครปฐม (ตามการ์ด),หลวงพ่อน้อย วัดศีรษะทอง (ตามการ์ด),,กะลามะพร้าวที่มีตาเดียวแทนที่จะมีสาม ของหายากตามธรรมชาติ ไม่ใช่ของทำ เก็บทั้งลูกหรือแกะเป็นราหู ความหายากนั่นเองคือของขลัง,"A coconut shell with a single eye where every normal shell has three — a natural anomaly, not a crafted thing, carved (often into Rahu) or kept whole. The rarity IS the charm.",280,199.0,,,https://wichaa.net/amulets/kind/kala-ta-diao/,https://wichaa.net/amulets/api/kind/kala-ta-diao.json,medium,2026-09-02
keris,kind,,กริช,keris,Keris / kris (the heirloom dagger),,ยังไม่ชี้ขาด,,,,blade,nuea_loha,,id|my|th-south|sg,,เอิมปู (empu) ช่างตีที่ต้องมีทั้งฝีมือและบารมี,"Old Java: inscriptions of 901–904 CE name keris among offerings (id.wikipedia); the recognisable form is attested by 1361 under Majapahit (en.wikipedia). UNESCO intangible heritage list, 2008.",มีดสั้นสองคมของโลกมลายู-ชวา โคนไม่สมมาตร ใบตรงหรือคดเลขคี่ ลายพามอร์จากเหล็กซ้อนชั้น ถือเป็นปูซากา (มรดกศักดิ์สิทธิ์) ที่มีทัวะห์หรือ “ผู้อยู่” ในเล่ม ล้างน้ำมันปีละครั้ง ห้ามชักเล่น ห้ามชี้,"The double-edged dagger of the Malay-Javanese world: asymmetric base, straight or odd-waved blade, pattern-welded pamor. Kept as pusaka — a sanctified heirloom held to carry tuah, and in Javanese belief an isi or presence of its own — washed and oiled once a year, never drawn idly, never pointed.",,,keris/keris-javanese-keris-dscf0867-1bb8b3.jpg,CC BY-SA 4.0,https://wichaa.net/amulets/kind/keris/,https://wichaa.net/amulets/api/kind/keris.json,high,2026-09-02
khmer-bronze-amulet,kind,,พระเครื่องเขมร,phra khrueang khmer,Khmer bronze amulet (Angkorian and post-Angkorian figurines),phra_khrueang,พระเครื่อง,none,none,low,figure,samrit|nuea_loha,khum_khrong,kh|th-isan|th-central,,ช่างหล่อขอม (หล่อแบบสูญขี้ผึ้งแปดขั้น) และช่างรุ่นหลัง,Hindu and Buddhist bronzes from the seventh century; Angkor period ninth to thirteenth; post-Angkor Theravada commissions of ancestors and Buddhist figures as merit,รูปหล่อสำริดขนาดเล็กศิลปะขอม — นาคปรก พระทรงเครื่อง หรือเทวรูป — ที่นำมาห้อยคอหรือบูชา ของแท้ยุคพระนครเป็นโบราณวัตถุที่มีปัญหากฎหมาย ของในตลาดส่วนมากหล่อใหม่,"A small Khmer-style bronze — naga-enthroned Buddha, crowned Buddha, or deity — worn as an amulet or kept on the altar. Genuine Angkorian pieces are antiquities with a legal problem attached; most of what circulates is modern casting in the style.",,,khmer-bronze-amulet/khmer-bronze-amulet-naga-enthroned-buddha-beyond-angkor-clev-c96f42.jpg,CC BY-SA 2.0,https://wichaa.net/amulets/kind/khmer-bronze-amulet/,https://wichaa.net/amulets/api/kind/khmer-bronze-amulet.json,medium,2026-09-02
khmer-katha,kind,,ตะกรุดเขมร,katha (Khmer takrut),Khmer katha scroll (rolled inscribed talisman),yantra_wattu,วัตถุมงคล (ยันต์),none,none,low,tube,takua|thongdaeng|ngoen|nuea_loha,khong_kraphan|khlaeo_khlat|metta_maha_niyom|kan_phi,kh,,ครูขแมร์ / อาจารย์ (อาจาร),"Undated tradition; the script and formula practice descend from the Angkor and post-Angkor Theravada world, damaged under the Khmer Rouge",แผ่นโลหะจารคาถาบาลีด้วยตัวขอม ม้วนเป็นหลอด ของขลังเขมรที่ตะกรุดไทยสืบมา พลังอยู่ที่อักขระและพิธี ไม่มีผู้อยู่ ไม่ต้องเลี้ยง,A metal sheet inscribed with a Pali gatha in Khmer letters and rolled into a tube: the Cambodian ancestor of the Thai takrut. Power sits in the inscription and the rite; nobody is home and nothing is owed.,,,khmer-katha/khmer-katha-suvannasama-jataka-in-khom-thai-script-821d75.jpg,CC0,https://wichaa.net/amulets/kind/khmer-katha/,https://wichaa.net/amulets/api/kind/khmer-katha.json,medium,2026-09-02
khmer-yantra-cloth,kind,,ผ้ายันต์เขมร,yoan (Khmer yantra cloth),Khmer yantra cloth,yantra_wattu,วัตถุมงคล (ยันต์),none,none,low,cloth,pha_yan,khum_khrong|khong_kraphan|khlaeo_khlat|kan_phi,kh,,ครูขแมร์ อาจารย์ และพระ,"Undated; yantra practice in Cambodia is traced to the Khmer Empire around the ninth century, and the cloth form is documented into the present",ผ้าเขียนยันต์ตัวขอมของเขมร แขวนขื่อบ้าน พับพก หรือคาดตัวนักสู้ พลังอยู่ที่อักขระและพิธี ไม่มีผู้อยู่,"A cloth drawn with Khom-letter yantra in the Cambodian tradition — hung from the house beam, folded into a pocket, or tied on a fighter. Power lives in the inscription and the rite; nobody is home.",,,khmer-yantra-cloth/khmer-yantra-cloth-hevajrayantra-30558c.webp,CC0,https://wichaa.net/amulets/kind/khmer-yantra-cloth/,https://wichaa.net/amulets/api/kind/khmer-yantra-cloth.json,medium,2026-09-02
khot-kala,kind,,คดกะลา,khot kala,Coconut-shell concretion,khong_thammachat,เครื่องรางธรรมชาติ,none,none,low,natural,kala,khum_khrong|khong_kraphan,th,,,,ก้อนแข็งเหมือนหินที่พบเกิดในลูกมะพร้าว หนึ่งในตระกูลคด — หินที่ไม่น่าจะมีในสิ่งมีชีวิต เก็บทั้งก้อนตามที่พบ ฤทธิ์อยู่ในตัว ไม่ต้องเลี้ยง,"A stone-hard concretion found grown inside a coconut — one of the คด family of impossible stones found in living things. Kept whole as found; power inherent, none to feed.",10,169.0,,,https://wichaa.net/amulets/kind/khot-kala/,https://wichaa.net/amulets/api/kind/khot-kala.json,low,2026-09-02
khun-phaen,kind,,ขุนแผน,khun phaen,Khun Phaen tablet,phra_khrueang,พระเครื่อง,none,none,low,tablet,nuea_phong|nuea_din,maha_saneh|metta_maha_niyom|khlaeo_khlat,th-central,,ตั้งชื่อตามขุนแผน ตัวเอกเสภาขุนช้างขุนแผน; สายที่วงการยกให้: หลวงพ่อกวย วัดโฆสิตาราม ชัยนาท (พลายกุมาร) และหลวงปู่ทิม วัดละหารไร่,"Epic first printed 1872; the trade holds that the tablet form predates the name, from Ayutthaya-period caches in the Suphanburi area — unverified here",พระพิมพ์ในซุ้มเรือนแก้ว ตั้งชื่อตามขุนแผนผู้เชี่ยวชาญวิชาในเสภา — พระเครื่ององค์เดียวที่เรื่องมวลสารสำคัญเท่ากับพิมพ์ทรง บางองค์เป็นผงล้วน บางองค์ผสมมวลสารอื่น และผิวไม่บอก,"A pressed tablet in the classic arch — named for the epic's charm-master, and the one amulet whose material story matters as much as its form. Some are pure powder; some are worked with other material, and the difference does not show on the surface.",323,168.0,khun-phaen/khun-phaen-khun-paen-wat-bang-krang-dd5c5d.png,CC BY-SA 4.0,https://wichaa.net/amulets/kind/khun-phaen/,https://wichaa.net/amulets/api/kind/khun-phaen.json,medium,2026-09-02
